X
142.02
139.96
137.27
136.96
136.33
134.78
133.11
133.41
133.7
133.98
132.3
130.46
131.79
130.15
129.64
130.48
127.35
126.11
127.13
126.74
125.9
125.89
123.54
125.06
124.28
124.61
125.28
126.85
126.9
127.1
125.43
127.31
124.69
124.85
126.27
127.45
124.97
122.77
125.91
126.85
130.21
129.74
128.1
127.85
132.54
131.46
133.48
133.58
134.39
134.72
134.32
131.94
133.5
133.11
134.84
134.16
134.5
132.03
134.43
131.24
132.995
130.36
127.9
126.21
125.9
123
122.15
119.9
121.39
121.21
120.59
120.09
122.54
123.39
119.99
120.53
124.76
125.57
123.99
121.03
121.96
119.98
121.085
116.36
121.42
120.13
122.06
125.12
127.79
121.26
120.99
125.35
125.86
126
129.87
129.71
130.84
133.19
135.37
135.13
135.39
136.01
136.91
136.76
137.39
133.94
134.99
134.14
131.96
137.09
142.06
143.16
142.92
139.07
136.87
132.03
127.83
127.14
128.91
130.89
128.8
128.98
132.05
130.92
126.6
131.01
129.41
132.69
133.72
134.87
136.69
131.97
130.96
131.88
128.23
126.655
128.7
127.81
127.88
121.78
122.41
123.24
121.78
124.38
123.75
122.25
122.94
123.08
122.72
119.05
116.59
116.03
115.17
113.85
117.34
118.64
118.03
119.39
120.3
119.26
119.21
119.49
115.97
116.32
118.69
119.03
114.95
110.44
108.77
108.86
115.32
111.2
116.6
115.05
115.04
115.75
116.87
117.51
115.98
119.02
120.71
121.19
121.1
124.4
116.97
114.97
115.08
113.16
116.5
113.02
116.79
115.81
114.09
114.96
112.28
108.22
107.12
111.81
110.08
106.84
110.34
112.13
115.54
115.355
112
113.49
117.32
112.82
120.96
120.88
131.4
134.18
129.04
499.23
500.04
506.09
499.3
503.43
497.48
473.1
462.83
462.25
458.43
459.63
460.04
452.04
437.5
450.91
444.45
455.61
440.25
438.66
435.75
425.04
384.76
380.16
373.01
379.24
370.46
371.38
389.09
388
393.43
385.31
386.09
390.9
388.23
381.91
383.68
383.01
381.37
372.69
373.85
364.11
364.11
364.8
361.78
353.63
364.84
360.06
366.53
358.87
349.72
351.73
351.59
352.08
342.99
338.8
335.9
352.84
343.99
333.46
331.5
322.32
325.12
323.34
321.85
317.94
318.25
318.11
316.73
318.89
316.85
319.23
313.14
314.96
307.71
309.54
307.65
311.41
315.01
310.13
303.74
300.63
297.56
293.16
289.07
293.8
287.73
278.58
283.17
282.97
275.03
276.1
268.37
276.93
282.8
286.69
284.43
287.05
273.25
267.99
266.07
259.43
262.47
241.41
244.93
240.91
254.29
254.81
247.74
258.44
245.52
246.88
224.37
229.24
244.78
246.67
252.86
242.21
277.97
248.23
275.43
285.34
266.17
289.03
292.92
302.74
289.32
298.81
273.36
273.52
292.65
288.08
298.18
313.05
320.3
323.62
319
324.95
324.87
327.2
319.61
321.55
320.03
325.21
321.45
318.85
308.66
309.51
323.87
324.34
317.69
308.95
318.31
319.23
317.7
316.57
318.73
315.24
311.34
312.68
316.96
310.33
309.63
303.19
298.39
299.8
297.43
300.35
293.65
291.52
289.8
289.91
284.27
284
279.44
280.02
279.74
280.41
279.86
275.15
271.46
270.77
268.48
266.92
270.71
265.58
261.74
259.45
264.16
267.25
267.84
264.29
266.37
261.78
262.01
263.19
266.29
267.1
265.76
262.64
264.47
261.96
262.2
260.14
259.43
257.24
257.13
257.5
255.82
248.76
243.26
243.29
249.05
246.58
